Protein 1	Protein 2	Integrated score	evidence: Protein co-expression	evidence: Co-dependence	evidence: Sequence similarity	evidence: Physical	evidence: mRNA co-expression	edge_role
CDYL	TERT	0.347	0.062	0.082	0.005	0.091	0.427	core
CDYL	TMSB4X	0.319	0.067	0.012	0.077	0.18	0.176	core
CDYL	TNF	0.395	0.005	0.064	0.077	0.393	0.482	core
CDYL	TPX2	0.303	0.301	0.065	0.012	0.394	0.183	core
CDYL	WIZ	0.657	0.1	0.082	0.134	0.617	0.267	core
CDYL	ZNF644	0.302	0.184	0.021	0.036	0.436	0.21	core
CDYL2	ECI2	0.365	0.195	0.026	0.485	0.167	0.107	core
CEACAM1	CEACAM6	0.416	0.081	0.088	0.342	0.078	0.165	core
CEACAM1	CEACAM8	0.618	0.454	0.269	0.342	0.457	0.251	core
CEACAM1	PTPN11	0.358	0.177	0.049	0.114	0.444	0.094	core
CEACAM3	CEACAM5	0.401	0.006	0.055	0.343	0.096	0.081	core
CEACAM3	CEACAM6	0.451	0.005	0.29	0.342	0.07	0.11	core
CEACAM3	CEACAM8	0.382	0.005	0.153	0.342	0.08	0.323	core
CEACAM3	CXCR1	0.312	0.003	0.02	0.105	0.099	0.424	core
CEACAM4	CLEC4D	0.335	0.042	0.137	0.077	0.074	0.455	core
CEACAM4	CLEC4E	0.339	0.044	0.048	0.1	0.08	0.438	core
CEACAM4	FES	0.337	0.007	0.041	0.211	0.079	0.451	core
CEACAM4	FGR	0.3	0.052	0.022	0.077	0.071	0.404	core
CEACAM4	FPR1	0.349	0.004	0.014	0.002	0.08	0.434	core
CEACAM4	S100A9	0.302	0.045	0.102	0.001	0.001	0.406	core
CEACAM4	SLC11A1	0.301	0.054	0.072	0.14	0.027	0.416	core
CEACAM5	CEACAM6	0.359	0.246	0.117	0.342	0.076	0.384	core
CEACAM6	CEACAM8	0.415	0.046	0.098	0.342	0.091	0.295	core
CEACAM8	CEBPE	0.326	0.008	0.052	0.102	0.079	0.508	core
CEACAM8	DEFA3	0.437	0.334	0.011	0.173	0.09	0.389	core
CEACAM8	DEFA4	0.347	0.069	0.062	0.007	0.091	0.522	core
CEACAM8	ELANE	0.356	0.375	0.017	0.168	0.09	0.485	core
CEACAM8	MS4A3	0.305	0.008	0.14	0.012	0.08	0.499	core
CEACAM8	PADI4	0.344	0.316	0.001	0.001	0.115	0.389	core
CEACAM8	PGLYRP1	0.446	0.354	0.076	0.09	0.105	0.464	core
CEACAM8	PRTN3	0.344	0.345	0.071	0.008	0.032	0.449	core
CEACAM8	RETN	0.302	0.368	0.033	0.104	0.148	0.397	core
CEACAM21	IL2	0.336	0.02	0.034	0.036	0.062	0.465	core
CEBPA	CEBPB	0.503	0.004	0.025	0.342	0.456	0.125	core
CEBPA	CEBPD	0.356	0.052	0.022	0.342	0.098	0.082	core
CEBPA	DDIT3	0.362	0.043	0.054	0.01	0.445	0.134	core
CEBPA	DOCK2	0.315	0.0	0.019	0.456	0.079	0.165	core
CEBPA	GRIN3A	0.36	0.005	0.048	0.259	0.446	0.063	core
CEBPA	HDAC1	0.411	0.004	0.071	0.005	0.484	0.075	core
CEBPA	HNF4A	0.403	0.005	0.233	0.342	0.114	0.101	core
CEBPA	KAT5	0.405	0.048	0.036	0.001	0.451	0.12	core
CEBPA	KLF5	0.337	0.001	0.021	0.008	0.448	0.08	core
CEBPA	MAPK8	0.418	0.041	0.095	0.105	0.477	0.152	core
CEBPA	MAX	0.497	0.006	0.038	0.01	0.486	0.187	core
CEBPA	MRTO4	0.475	0.02	0.106	0.036	0.471	0.184	core
CEBPA	PARP1	0.445	0.049	0.093	0.075	0.483	0.16	core
CEBPA	RARA	0.417	0.006	0.072	0.08	0.467	0.153	core
CEBPA	SMARCA2	0.374	0.001	0.049	0.016	0.455	0.129	core
CEBPA	SMARCA4	0.417	0.002	0.123	0.166	0.452	0.188	core
CEBPA	SP1	0.385	0.045	0.2	0.343	0.074	0.183	core
CEBPA	SPI1	0.368	0.037	0.014	0.011	0.451	0.159	core
CEBPA	UBE3A	0.441	0.004	0.037	0.137	0.458	0.181	core
CEBPA	XRCC5	0.352	0.054	0.033	0.003	0.457	0.075	core
CEBPA	ZBTB16	0.337	0.002	0.122	0.098	0.456	0.049	core
CEBPB	CEBPD	0.356	0.187	0.205	0.342	0.096	0.364	core
CEBPB	CREB1	0.397	0.143	0.085	0.377	0.449	0.152	core
CEBPB	DCTN2	0.309	0.127	0.037	0.343	0.079	0.074	core
CEBPB	DDIT3	0.464	0.002	0.134	0.015	0.447	0.385	core
CEBPB	EGR1	0.354	0.077	0.04	0.216	0.448	0.171	core
CEBPB	ESR1	0.305	0.101	0.063	0.08	0.447	0.193	core
CEBPB	HMGA1	0.303	0.123	0.14	0.094	0.451	0.097	core
CEBPB	HSF1	0.364	0.236	0.102	0.3	0.448	0.146	core
CEBPB	IL6	0.333	0.045	0.093	0.343	0.091	0.211	core
CEBPB	KAT2A	0.314	0.129	0.171	0.003	0.446	0.119	core
CEBPB	KLF5	0.419	0.151	0.054	0.09	0.449	0.225	core
CEBPB	LILRB2	0.339	0.126	0.049	0.121	0.092	0.359	core
CEBPB	MED23	0.3	0.118	0.035	0.01	0.448	0.121	core
CEBPB	NCOR2	0.33	0.246	0.074	0.01	0.448	0.121	core
CEBPB	NR3C1	0.302	0.177	0.042	0.009	0.447	0.118	core
CEBPB	PPARG	0.415	0.043	0.014	0.158	0.447	0.167	core
CEBPB	PSMA8	0.33	0.072	0.088	0.179	0.071	0.437	core
CEBPB	RB1	0.306	0.127	0.081	0.002	0.448	0.109	core
CEBPB	RELA	0.4	0.169	0.186	0.102	0.447	0.198	core
CEBPB	SMARCA2	0.318	0.088	0.087	0.074	0.447	0.133	core
CEBPB	SMARCA4	0.313	0.149	0.064	0.11	0.447	0.105	core
CEBPB	SMARCC1	0.316	0.176	0.127	0.012	0.45	0.106	core
CEBPB	SP1	0.39	0.212	0.1	0.005	0.45	0.199	core
CEBPB	SRF	0.347	0.246	0.039	0.171	0.448	0.135	core
CEBPB	STAT3	0.425	0.225	0.121	0.343	0.074	0.211	core
CEBPB	TNF	0.343	0.043	0.002	0.095	0.071	0.472	core
CEBPB	TRIB1	0.321	0.052	0.115	0.468	0.078	0.206	core
CEBPB	TRIM28	0.312	0.097	0.06	0.008	0.449	0.076	core
CEBPB	USF1	0.422	0.095	0.066	0.342	0.07	0.189	core
CEBPD	PSMA8	0.307	0.001	0.034	0.175	0.074	0.448	core
CEBPD	SMAD3	0.427	0.088	0.034	0.006	0.449	0.211	core
CEBPD	SMAD4	0.3	0.151	0.066	0.193	0.447	0.07	core
CEBPE	DEFA4	0.375	0.043	0.016	0.012	0.091	0.513	core
CEBPE	MS4A3	0.435	0.002	0.021	0.005	0.09	0.504	core
CEBPE	RB1	0.39	0.004	0.059	0.116	0.447	0.094	core
CEBPE	TNFSF13B	0.301	0.046	0.087	0.205	0.08	0.421	core
CEBPE	UBE2I	0.371	0.002	0.043	0.01	0.45	0.072	core
CEBPG	DDIT3	0.489	0.043	0.099	0.006	0.444	0.445	core
CEBPG	IFNG	0.365	0.0	0.045	0.088	0.149	0.446	core
CEBPG	KLF5	0.333	0.085	0.058	0.014	0.449	0.108	core
CEBPG	TERT	0.327	0.005	0.066	0.003	0.096	0.442	core
CEBPZ	CTCF	0.337	0.141	0.019	0.19	0.436	0.217	core
CEBPZ	CUX1	0.439	0.249	0.114	0.342	0.278	0.113	core
CEBPZ	CWC22	0.3	0.278	0.033	0.104	0.388	0.429	core
CEBPZ	DAB2	0.306	0.099	0.014	0.177	0.328	0.449	core
CEBPZ	DCAF13	0.364	0.521	0.091	0.143	0.336	0.377	core
CEBPZ	DDX3X	0.316	0.193	0.011	0.426	0.192	0.266	core
CEBPZ	DDX10	0.345	0.485	0.382	0.421	0.423	0.282	core
CEBPZ	DDX18	0.629	0.494	0.039	0.589	0.432	0.489	core
CEBPZ	DDX21	0.396	0.421	0.055	0.004	0.436	0.395	core
CEBPZ	DDX24	0.317	0.318	0.088	0.458	0.423	0.305	core
CEBPZ	DDX27	0.377	0.5	0.071	0.524	0.429	0.319	core
CEBPZ	DDX31	0.39	0.384	0.381	0.428	0.43	0.372	core
CEBPZ	DDX47	0.466	0.492	0.064	0.226	0.402	0.275	core
CEBPZ	DDX50	0.388	0.42	0.07	0.036	0.425	0.314	core
CEBPZ	DDX51	0.3	0.311	0.285	0.358	0.428	0.208	core
CEBPZ	DDX52	0.351	0.48	0.311	0.12	0.169	0.296	core
CEBPZ	DDX54	0.337	0.405	0.279	0.464	0.426	0.283	core
CEBPZ	DDX55	0.433	0.412	0.33	0.504	0.433	0.398	core
CEBPZ	DDX56	0.375	0.481	0.3	0.522	0.399	0.293	core
CEBPZ	DHX15	0.335	0.202	0.052	0.419	0.335	0.418	core
CEBPZ	DHX33	0.325	0.383	0.148	0.119	0.417	0.395	core
CEBPZ	DHX57	0.36	0.356	0.018	0.036	0.429	0.366	core
CEBPZ	DIEXF	0.359	0.431	0.339	0.096	0.266	0.309	core
CEBPZ	DKC1	0.324	0.165	0.012	0.356	0.429	0.38	core
CEBPZ	DNTTIP2	0.389	0.437	0.048	0.036	0.386	0.428	core
CEBPZ	DUSP11	0.301	0.364	0.033	0.16	0.385	0.252	core
CEBPZ	EBNA1BP2	0.517	0.461	0.159	0.419	0.455	0.292	core
CEBPZ	EIF2S1	0.357	0.29	0.028	0.002	0.422	0.486	core
CEBPZ	EMG1	0.333	0.459	0.011	0.008	0.079	0.286	core
CEBPZ	FASTKD2	0.3	0.299	0.026	0.004	0.322	0.471	core
CEBPZ	FBL	0.423	0.305	0.037	0.549	0.406	0.268	core
CEBPZ	FTSJ3	0.33	0.368	0.394	0.427	0.408	0.309	core
CEBPZ	GART	0.369	0.362	0.123	0.082	0.302	0.423	core
CEBPZ	GNL2	0.403	0.418	0.292	0.408	0.434	0.416	core
CEBPZ	GNL3	0.319	0.464	0.211	0.463	0.413	0.334	core
CEBPZ	GNL3L	0.301	0.201	0.011	0.382	0.388	0.324	core
CEBPZ	GPATCH4	0.322	0.133	0.168	0.036	0.438	0.379	core
CEBPZ	GTPBP4	0.407	0.435	0.125	0.467	0.406	0.441	core
CEBPZ	HEATR1	0.41	0.606	0.167	0.005	0.211	0.401	core
CEBPZ	HERC5	0.409	0.112	0.03	0.009	0.519	0.102	core
CEBPZ	HNRNPU	0.374	0.122	0.05	0.216	0.426	0.411	core
CEBPZ	HSPA1A	0.447	0.048	0.026	0.128	0.226	0.47	core
CEBPZ	HSPA1B	0.373	0.068	0.018	0.08	0.255	0.458	core
CEBPZ	IFNG	0.39	0.062	0.04	0.134	0.161	0.484	core
CEBPZ	ILF2	0.31	0.265	0.269	0.07	0.423	0.303	core
CEBPZ	IMP3	0.365	0.491	0.146	0.002	0.388	0.272	core
CEBPZ	IMP4	0.456	0.493	0.39	0.087	0.433	0.283	core
CEBPZ	INS	0.401	0.002	0.035	0.151	0.028	0.475	core
CEBPZ	IWS1	0.329	0.392	0.067	0.011	0.349	0.34	core
CEBPZ	KRR1	0.446	0.429	0.273	0.071	0.443	0.346	core
CEBPZ	LAS1L	0.303	0.39	0.012	0.002	0.201	0.283	core
CEBPZ	LYAR	0.386	0.426	0.109	0.036	0.428	0.403	core
CEBPZ	MAK16	0.353	0.442	0.266	0.036	0.387	0.33	core
CEBPZ	MDN1	0.347	0.436	0.075	0.415	0.194	0.32	core
CEBPZ	MPHOSPH10	0.455	0.553	0.318	0.181	0.393	0.424	core
CEBPZ	MRTO4	0.476	0.481	0.295	0.418	0.442	0.305	core
CEBPZ	MYBBP1A	0.369	0.515	0.178	0.002	0.414	0.342	core
CEBPZ	NAA15	0.323	0.385	0.264	0.004	0.289	0.438	core
CEBPZ	NAT10	0.386	0.525	0.406	0.489	0.43	0.296	core
CEBPZ	NCL	0.551	0.477	0.037	0.35	0.47	0.394	core
CEBPZ	NFYA	0.421	0.11	0.081	0.342	0.194	0.167	core
CEBPZ	NFYB	0.388	0.121	0.045	0.013	0.488	0.146	core
CEBPZ	NFYC	0.402	0.138	0.016	0.342	0.241	0.161	core
CEBPZ	NGDN	0.355	0.52	0.288	0.036	0.175	0.328	core
CEBPZ	NIFK	0.371	0.42	0.273	0.462	0.199	0.386	core
CEBPZ	NIP7	0.349	0.449	0.077	0.464	0.423	0.374	core
CEBPZ	NOC2L	0.597	0.658	0.396	0.766	0.432	0.296	core
CEBPZ	NOC3L	0.364	0.488	0.289	0.561	0.42	0.369	core
CEBPZ	NOC4L	0.336	0.486	0.272	0.475	0.364	0.244	core
CEBPZ	NOL6	0.334	0.531	0.102	0.428	0.408	0.289	core
CEBPZ	NOL10	0.462	0.541	0.325	0.41	0.388	0.565	core
CEBPZ	NOL11	0.359	0.601	0.245	0.09	0.055	0.401	core
CEBPZ	NOLC1	0.366	0.11	0.09	0.474	0.405	0.412	core
CEBPZ	NOP2	0.548	0.452	0.316	0.537	0.479	0.342	core
CEBPZ	NOP14	0.379	0.491	0.18	0.078	0.327	0.419	core
CEBPZ	NOP16	0.359	0.442	0.158	0.036	0.403	0.356	core
CEBPZ	NOP56	0.518	0.272	0.069	0.478	0.488	0.314	core
CEBPZ	NOP58	0.313	0.342	0.382	0.353	0.341	0.523	core
CEBPZ	NPM1	0.359	0.452	0.317	0.105	0.423	0.328	core
CEBPZ	NPM3	0.33	0.375	0.048	0.036	0.422	0.33	core
CEBPZ	NSA2	0.329	0.395	0.223	0.42	0.356	0.243	core
CEBPZ	NUP107	0.309	0.386	0.057	0.118	0.3	0.329	core
CEBPZ	NVL	0.538	0.139	0.174	0.463	0.483	0.281	core
CEBPZ	ORC5	0.327	0.35	0.442	0.007	0.362	0.359	core
CEBPZ	PABPC4	0.302	0.315	0.014	0.395	0.386	0.219	core
CEBPZ	PAK1IP1	0.348	0.485	0.269	0.036	0.415	0.32	core
CEBPZ	PDCD11	0.459	0.68	0.184	0.188	0.414	0.32	core
CEBPZ	PES1	0.37	0.422	0.346	0.607	0.404	0.31	core
CEBPZ	POLR1A	0.336	0.433	0.272	0.002	0.267	0.33	core
CEBPZ	POLR1B	0.367	0.476	0.323	0.005	0.241	0.359	core
CEBPZ	POLR1E	0.319	0.435	0.31	0.219	0.234	0.243	core
CEBPZ	PPAN	0.318	0.242	0.378	0.459	0.348	0.259	core
CEBPZ	PPM1G	0.306	0.285	0.061	0.094	0.394	0.408	core
CEBPZ	PRPF4	0.301	0.364	0.123	0.0	0.289	0.345	core
CEBPZ	PRPF40A	0.312	0.355	0.155	0.003	0.308	0.393	core
CEBPZ	PTMA	0.309	0.334	0.131	0.003	0.409	0.31	core
CEBPZ	PUM3	0.346	0.431	0.0	0.541	0.42	0.335	core
CEBPZ	PWP1	0.329	0.239	0.417	0.39	0.413	0.375	core
CEBPZ	PWP2	0.372	0.56	0.36	0.35	0.4	0.342	core
CEBPZ	RANBP2	0.33	0.392	0.019	0.012	0.289	0.33	core
CEBPZ	RBM19	0.352	0.444	0.35	0.036	0.241	0.16	core
CEBPZ	RBM28	0.374	0.44	0.236	0.504	0.434	0.318	core
CEBPZ	RBM34	0.44	0.349	0.123	0.523	0.456	0.242	core
CEBPZ	RBMX2	0.338	0.363	0.008	0.036	0.401	0.176	core
CEBPZ	REXO4	0.376	0.488	0.035	0.036	0.417	0.252	core
CEBPZ	RFWD3	0.301	0.046	0.105	0.01	0.426	0.275	core
CEBPZ	RPF1	0.372	0.336	0.155	0.531	0.366	0.348	core
CEBPZ	RPF2	0.399	0.295	0.407	0.523	0.378	0.37	core
CEBPZ	RPL3	0.435	0.312	0.044	0.528	0.419	0.228	core
CEBPZ	RPL4	0.345	0.182	0.04	0.422	0.431	0.27	core
CEBPZ	RPL5	0.395	0.264	0.1	0.529	0.414	0.288	core
CEBPZ	RPL7	0.321	0.231	0.153	0.429	0.422	0.286	core
CEBPZ	RPL7A	0.392	0.295	0.051	0.417	0.433	0.283	core
CEBPZ	RPL7L1	0.345	0.352	0.182	0.036	0.431	0.272	core
CEBPZ	RPL10A	0.349	0.181	0.065	0.428	0.429	0.292	core
CEBPZ	RPL12	0.311	0.255	0.027	0.423	0.412	0.296	core
CEBPZ	RPL13A	0.437	0.122	0.194	0.421	0.449	0.231	core
CEBPZ	RPL18	0.498	0.121	0.177	0.42	0.479	0.209	core
CEBPZ	RPL18A	0.481	0.181	0.019	0.419	0.47	0.23	core
CEBPZ	RPL23A	0.316	0.165	0.03	0.42	0.423	0.292	core
CEBPZ	RPL26	0.339	0.226	0.204	0.394	0.429	0.224	core
CEBPZ	RPL27A	0.33	0.223	0.076	0.422	0.421	0.21	core
CEBPZ	RPL29	0.316	0.213	0.108	0.125	0.43	0.316	core
CEBPZ	RPL30	0.383	0.39	0.021	0.422	0.425	0.284	core
CEBPZ	RPL31	0.302	0.166	0.057	0.423	0.425	0.282	core
CEBPZ	RPL34	0.355	0.208	0.152	0.004	0.442	0.19	core
CEBPZ	RPL35A	0.316	0.204	0.238	0.425	0.389	0.216	core
CEBPZ	RPL36A	0.348	0.107	0.012	0.008	0.43	0.291	core
CEBPZ	RPLP0	0.318	0.215	0.03	0.415	0.413	0.261	core
CEBPZ	RPS4X	0.355	0.235	0.004	0.426	0.379	0.191	core
CEBPZ	RPS10	0.311	0.249	0.04	0.007	0.431	0.299	core
CEBPZ	RPS12	0.304	0.197	0.026	0.12	0.426	0.275	core
CEBPZ	RPS13	0.407	0.205	0.062	0.007	0.451	0.257	core
CEBPZ	RPS14	0.464	0.201	0.052	0.079	0.461	0.231	core
CEBPZ	RRP1	0.397	0.478	0.419	0.483	0.161	0.301	core
CEBPZ	RRP1B	0.465	0.521	0.137	0.194	0.437	0.327	core
CEBPZ	RRP8	0.351	0.46	0.134	0.009	0.406	0.256	core
CEBPZ	RRP12	0.354	0.417	0.358	0.419	0.406	0.347	core
CEBPZ	RRP15	0.397	0.474	0.086	0.036	0.429	0.39	core
CEBPZ	RRS1	0.332	0.393	0.249	0.439	0.216	0.237	core
CEBPZ	RSL1D1	0.414	0.527	0.337	0.075	0.431	0.37	core
CEBPZ	RSL24D1	0.331	0.385	0.166	0.394	0.188	0.264	core
CEBPZ	SDAD1	0.319	0.381	0.36	0.036	0.239	0.346	core
CEBPZ	SKIV2L	0.314	0.159	0.19	0.441	0.268	0.158	core
CEBPZ	SKIV2L2	0.307	0.257	0.097	0.436	0.254	0.359	core
CEBPZ	SMARCA5	0.309	0.113	0.309	0.167	0.409	0.344	core
CEBPZ	SP1	0.471	0.121	0.065	0.343	0.167	0.152	core
CEBPZ	SRSF10	0.361	0.054	0.057	0.013	0.397	0.405	core
CEBPZ	SSB	0.31	0.259	0.377	0.353	0.383	0.427	core
CEBPZ	SYNCRIP	0.398	0.189	0.146	0.002	0.453	0.347	core
CEBPZ	TBL3	0.336	0.559	0.305	0.354	0.195	0.241	core
CEBPZ	TERT	0.322	0.058	0.041	0.136	0.078	0.457	core
CEBPZ	TEX10	0.335	0.337	0.354	0.386	0.414	0.369	core
CEBPZ	TNF	0.36	0.007	0.12	0.001	0.161	0.447	core
CEBPZ	TP53	0.508	0.2	0.047	0.09	0.513	0.169	core
CEBPZ	TP73	0.463	0.064	0.019	0.115	0.477	0.198	core
CEBPZ	TRIP12	0.342	0.196	0.09	0.01	0.333	0.477	core
CEBPZ	TSR1	0.379	0.213	0.241	0.015	0.414	0.407	core
CEBPZ	TTF1	0.458	0.122	0.165	0.071	0.481	0.28	core
CEBPZ	UPF1	0.336	0.201	0.087	0.007	0.444	0.214	core
CEBPZ	URB1	0.392	0.451	0.327	0.036	0.41	0.249	core
CEBPZ	URB2	0.341	0.333	0.406	0.036	0.418	0.338	core
CEBPZ	UTP3	0.371	0.543	0.136	0.087	0.276	0.302	core
CEBPZ	UTP6	0.39	0.498	0.375	0.001	0.113	0.324	core
CEBPZ	UTP14A	0.383	0.488	0.012	0.002	0.37	0.341	core
CEBPZ	UTP15	0.408	0.561	0.191	0.076	0.194	0.413	core
CEBPZ	UTP18	0.353	0.513	0.315	0.003	0.4	0.405	core
CEBPZ	UTP20	0.336	0.515	0.192	0.419	0.384	0.393	core
CEBPZ	WDCP	0.382	0.087	0.016	0.15	0.305	0.441	core
CEBPZ	WDR3	0.518	0.556	0.352	0.084	0.407	0.381	core
CEBPZ	WDR12	0.395	0.464	0.404	0.466	0.362	0.386	core
CEBPZ	WDR36	0.418	0.557	0.329	0.352	0.425	0.37	core
CEBPZ	WDR43	0.489	0.538	0.036	0.006	0.225	0.467	core
CEBPZ	WDR46	0.349	0.5	0.06	0.353	0.393	0.258	core
CEBPZ	WDR74	0.333	0.48	0.067	0.464	0.07	0.35	core
CEBPZ	WDR75	0.408	0.499	0.11	0.002	0.168	0.423	core
CEBPZ	XRN2	0.372	0.216	0.271	0.095	0.426	0.398	core
CEBPZ	YBX1	0.303	0.293	0.141	0.149	0.438	0.274	core
CEBPZ	ZC3H15	0.302	0.297	0.027	0.036	0.387	0.343	core
CEL	CELA3B	0.305	0.005	0.042	0.009	0.076	0.528	core
CEL	CPA1	0.323	0.046	0.028	0.006	0.069	0.541	core
CEL	CPA2	0.327	0.002	0.042	0.007	0.07	0.475	core
CEL	CPB1	0.33	0.02	0.084	0.036	0.072	0.491	core
CEL	CTRB2	0.321	0.001	0.018	0.132	0.078	0.52	core
CEL	CTRC	0.305	0.001	0.024	0.076	0.071	0.524	core
CEL	PNLIP	0.318	0.05	0.026	0.121	0.031	0.506	core
CEL	PRSS1	0.332	0.067	0.041	0.077	0.003	0.543	core
CEL	SYCN	0.321	0.02	0.03	0.036	0.014	0.513	core
CELA2A	PNLIP	0.311	0.005	0.052	0.102	0.026	0.562	core
CELA2A	PRSS1	0.301	0.001	0.042	0.092	0.003	0.506	core
CELA2B	CTRC	0.305	0.007	0.154	0.012	0.136	0.463	core
CELA2B	PNLIPRP2	0.31	0.041	0.005	0.011	0.052	0.486	core
CELA2B	PRSS1	0.318	0.005	0.069	0.013	0.003	0.47	core
CELA2B	SYCN	0.303	0.02	0.066	0.036	0.034	0.476	core
CELF1	CHERP	0.303	0.398	0.043	0.001	0.207	0.337	core
CELF1	CKAP5	0.353	0.46	0.021	0.168	0.194	0.398	core
CELF1	DAB2	0.328	0.208	0.018	0.001	0.247	0.43	core
CELF1	ELAVL1	0.336	0.445	0.105	0.409	0.267	0.265	core
CELF1	HNRNPH2	0.306	0.475	0.012	0.152	0.135	0.187	core
CELF1	INS	0.316	0.002	0.176	0.098	0.004	0.444	core
CELF1	PUM1	0.319	0.407	0.276	0.072	0.068	0.276	core
CELF2	ELAVL1	0.462	0.09	0.018	0.38	0.486	0.124	core
CELF2	IL2	0.333	0.04	0.033	0.006	0.05	0.45	core
CELF3	ELAVL3	0.344	0.02	0.224	0.373	0.176	0.145	core
CELSR1	CELSR2	0.327	0.33	0.064	0.036	0.439	0.202	core
CELSR3	EGF	0.432	0.02	0.002	0.343	0.084	0.094	core
CENPA	CENPB	0.548	0.004	0.054	0.342	0.48	0.132	core
CENPA	CENPC	0.375	0.006	0.101	0.342	0.184	0.311	core
CENPA	CENPE	0.565	0.004	0.023	0.009	0.186	0.605	core
CENPA	CENPF	0.547	0.049	0.078	0.015	0.245	0.598	core
CENPA	CENPH	0.648	0.001	0.156	0.086	0.506	0.535	core
CENPA	CENPI	0.396	0.048	0.011	0.001	0.285	0.552	core
CENPA	CENPK	0.33	0.042	0.058	0.003	0.158	0.548	core
CENPA	CENPL	0.445	0.005	0.066	0.072	0.212	0.527	core
CENPA	CENPM	0.608	0.006	0.137	0.007	0.451	0.543	core
CENPA	CENPN	0.647	0.047	0.183	0.001	0.467	0.552	core
CENPA	CENPO	0.395	0.05	0.226	0.137	0.255	0.542	core
CENPA	CENPQ	0.331	0.003	0.067	0.008	0.332	0.478	core
CENPA	CENPS	0.43	0.037	0.015	0.375	0.173	0.404	core
CENPA	CENPT	0.42	0.049	0.096	0.008	0.501	0.137	core
CENPA	CENPU	0.577	0.005	0.129	0.127	0.482	0.553	core
CENPA	CEP55	0.599	0.05	0.194	0.003	0.21	0.596	core
CENPA	CHAF1A	0.312	0.004	0.014	0.014	0.197	0.529	core
CENPA	CHAF1B	0.317	0.054	0.099	0.137	0.245	0.516	core
CENPA	CHEK1	0.445	0.002	0.002	0.11	0.198	0.558	core
CENPA	CHEK2	0.377	0.003	0.126	0.089	0.214	0.464	core
CENPA	CKAP2	0.4	0.04	0.112	0.121	0.213	0.508	core
CENPA	CKAP2L	0.51	0.043	0.206	0.162	0.092	0.603	core
CENPA	CKS2	0.34	0.02	0.078	0.036	0.232	0.488	core
CENPA	DAB2	0.336	0.005	0.097	0.007	0.246	0.452	core
CENPA	DDIAS	0.306	0.02	0.03	0.036	0.084	0.526	core
CENPA	DEPDC1	0.342	0.042	0.143	0.006	0.18	0.505	core
CENPA	DLGAP5	0.701	0.004	0.115	0.011	0.227	0.671	core
CENPA	DNA2	0.303	0.045	0.004	0.001	0.112	0.493	core
CENPA	DSCC1	0.375	0.001	0.123	0.002	0.217	0.534	core
CENPA	DSN1	0.375	0.002	0.057	0.104	0.211	0.517	core
CENPA	DTL	0.379	0.004	0.039	0.146	0.207	0.553	core
CENPA	ECT2	0.524	0.006	0.047	0.106	0.24	0.57	core
CENPA	ERCC6L	0.371	0.039	0.012	0.013	0.181	0.576	core
CENPA	ESCO2	0.397	0.003	0.018	0.004	0.173	0.526	core
CENPA	EXO1	0.378	0.053	0.135	0.123	0.225	0.538	core
CENPA	FAM83D	0.542	0.006	0.056	0.002	0.218	0.587	core
CENPA	FBXO5	0.424	0.003	0.103	0.015	0.197	0.55	core
CENPA	FEN1	0.452	0.048	0.296	0.212	0.19	0.527	core
CENPA	FGF10	0.327	0.002	0.036	0.01	0.126	0.46	core
CENPA	FOXM1	0.388	0.04	0.028	0.089	0.174	0.558	core
CENPA	GINS1	0.343	0.045	0.061	0.072	0.159	0.541	core
CENPA	GINS4	0.308	0.002	0.025	0.003	0.259	0.494	core
CENPA	GPSM2	0.301	0.002	0.074	0.0	0.179	0.518	core
CENPA	GSG2	0.46	0.006	0.059	0.097	0.199	0.491	core
CENPA	GTSE1	0.641	0.05	0.183	0.001	0.224	0.606	core
CENPA	H2AFX	0.368	0.052	0.363	0.075	0.242	0.482	core
CENPA	H2AFY	0.543	0.049	0.096	0.0	0.535	0.33	core
CENPA	H2AFZ	0.372	0.052	0.051	0.012	0.247	0.528	core
CENPA	H3F3A	0.435	0.001	0.042	0.139	0.48	0.152	core
CENPA	HAUS1	0.329	0.048	0.08	0.163	0.188	0.489	core
CENPA	HAUS8	0.359	0.002	0.059	0.078	0.196	0.523	core
CENPA	HIST1H1B	0.314	0.049	0.152	0.001	0.224	0.376	core
CENPA	HIST1H4A	0.619	0.045	0.119	0.078	0.492	0.48	core
CENPA	HJURP	0.735	0.049	0.465	0.006	0.55	0.647	core
CENPA	HMMR	0.574	0.004	0.058	0.083	0.194	0.577	core
CENPA	IFNG	0.343	0.041	0.041	0.077	0.119	0.445	core
CENPA	INCENP	0.491	0.046	0.046	0.343	0.203	0.528	core
CENPA	ITGB3BP	0.345	0.043	0.041	0.012	0.237	0.446	core
CENPA	KIF2C	0.65	0.003	0.095	0.342	0.228	0.624	core
CENPA	KIF4A	0.628	0.005	0.012	0.015	0.213	0.62	core
CENPA	KIF11	0.529	0.039	0.014	0.142	0.183	0.596	core
CENPA	KIF14	0.459	0.004	0.157	0.007	0.101	0.596	core
CENPA	KIF15	0.497	0.052	0.141	0.202	0.2	0.577	core
CENPA	KIF18A	0.429	0.038	0.097	0.081	0.231	0.547	core
CENPA	KIF18B	0.356	0.053	0.047	0.009	0.095	0.533	core
CENPA	KIF20A	0.639	0.004	0.069	0.171	0.225	0.63	core
CENPA	KIF20B	0.363	0.006	0.183	0.008	0.171	0.504	core
